n.convolution; d.Gy; dd.Gy; f
0; 3.096673e+00; 2.146880e-01; 0.000000e+00
0; 3.318932e+00; 2.300969e-01; 0.000000e+00
0; 3.557143e+00; 2.466117e-01; 0.000000e+00
0; 3.812452e+00; 2.643119e-01; 0.000000e+00
0; 4.086085e+00; 2.832825e-01; 0.000000e+00
0; 4.379357e+00; 3.036147e-01; 0.000000e+00
0; 4.693679e+00; 3.254061e-01; 0.000000e+00
0; 5.030560e+00; 3.487617e-01; 0.000000e+00
0; 5.391621e+00; 3.737935e-01; 0.000000e+00
0; 5.778596e+00; 4.006220e-01; 0.000000e+00
0; 6.193346e+00; 4.293760e-01; 0.000000e+00
0; 6.637864e+00; 4.601938e-01; 0.000000e+00
0; 7.114286e+00; 4.932235e-01; 0.000000e+00
0; 7.624903e+00; 5.286238e-01; 0.000000e+00
0; 8.172169e+00; 5.665650e-01; 0.000000e+00
0; 8.758714e+00; 6.072293e-01; 0.000000e+00
0; 9.387357e+00; 6.508123e-01; 0.000000e+00
0; 1.006112e+01; 6.975233e-01; 0.000000e+00
0; 1.078324e+01; 7.475870e-01; 0.000000e+00
0; 1.155719e+01; 8.012439e-01; 0.000000e+00
0; 1.238669e+01; 8.587520e-01; 0.000000e+00
0; 1.327573e+01; 9.203876e-01; 0.000000e+00
0; 1.422857e+01; 9.864470e-01; 0.000000e+00
0; 1.524981e+01; 1.057248e+00; 0.000000e+00
0; 1.634434e+01; 1.133130e+00; 0.000000e+00
0; 1.751743e+01; 1.214459e+00; 0.000000e+00
0; 1.877471e+01; 1.301625e+00; 0.000000e+00
0; 2.012224e+01; 1.395047e+00; 0.000000e+00
0; 2.156648e+01; 1.495174e+00; 0.000000e+00
0; 2.311438e+01; 1.602488e+00; 0.000000e+00
0; 2.477338e+01; 1.717504e+00; 0.000000e+00
0; 2.655146e+01; 1.840775e+00; 0.000000e+00
0; 2.845715e+01; 1.972894e+00; 0.000000e+00
0; 3.049961e+01; 2.114495e+00; 0.000000e+00
0; 3.268868e+01; 2.266260e+00; 0.000000e+00
0; 3.503486e+01; 2.428917e+00; 0.000000e+00
0; 3.754943e+01; 2.603249e+00; 0.000000e+00
0; 4.024448e+01; 2.790093e+00; 0.000000e+00
0; 4.313297e+01; 2.990348e+00; 0.000000e+00
0; 4.622877e+01; 3.204976e+00; 0.000000e+00
0; 4.954677e+01; 3.435008e+00; 0.000000e+00
0; 5.310291e+01; 3.681550e+00; 6.400006e-09
